Feature 	 Val_totalreads 	 Coq_totalreads
PiuraChilensis_v1_contig_10204 	 2 	 5
PiuraChilensis_v1_contig_10205 	 2 	 5
PiuraChilensis_v1_contig_10206 	 2 	 6
PiuraChilensis_v1_contig_10207 	 2 	 4
PiuraChilensis_v1_contig_10208 	 0 	 2
PiuraChilensis_v1_contig_10209 	 1 	 3
PiuraChilensis_v1_contig_1021 	 30 	 65
PiuraChilensis_v1_contig_10210 	 6 	 10
PiuraChilensis_v1_contig_10211 	 3 	 3
PiuraChilensis_v1_contig_10212 	 8 	 15
PiuraChilensis_v1_contig_10213 	 1 	 6
PiuraChilensis_v1_contig_10214 	 0 	 12
PiuraChilensis_v1_contig_10215 	 3 	 1
PiuraChilensis_v1_contig_10216 	 4 	 3
PiuraChilensis_v1_contig_10217 	 13 	 16
PiuraChilensis_v1_contig_10218 	 89 	 44
PiuraChilensis_v1_contig_10219 	 8 	 9
PiuraChilensis_v1_contig_1022 	 24 	 9
PiuraChilensis_v1_contig_10220 	 16 	 10
PiuraChilensis_v1_contig_10221 	 7 	 8
PiuraChilensis_v1_contig_10222 	 2 	 4
PiuraChilensis_v1_contig_10223 	 6 	 2
PiuraChilensis_v1_contig_10224 	 0 	 3
PiuraChilensis_v1_contig_10225 	 11 	 15
PiuraChilensis_v1_contig_10226 	 10 	 9
PiuraChilensis_v1_contig_10227 	 12 	 13
PiuraChilensis_v1_contig_10228 	 7 	 2
PiuraChilensis_v1_contig_10229 	 24 	 14
PiuraChilensis_v1_contig_1023 	 47 	 66
PiuraChilensis_v1_contig_10230 	 4 	 10
PiuraChilensis_v1_contig_10231 	 1 	 2
PiuraChilensis_v1_contig_10232 	 18 	 14
PiuraChilensis_v1_contig_10233 	 16 	 16
PiuraChilensis_v1_contig_10234 	 5 	 2
PiuraChilensis_v1_contig_10235 	 5 	 6
PiuraChilensis_v1_contig_10236 	 21 	 13
PiuraChilensis_v1_contig_10237 	 3 	 3
PiuraChilensis_v1_contig_10238 	 11 	 13
PiuraChilensis_v1_contig_10239 	 5 	 4
PiuraChilensis_v1_contig_1024 	 103 	 81
PiuraChilensis_v1_contig_10240 	 0 	 4
PiuraChilensis_v1_contig_10241 	 3 	 1
PiuraChilensis_v1_contig_10242 	 8 	 2
PiuraChilensis_v1_contig_10243 	 9 	 2
PiuraChilensis_v1_contig_10244 	 2 	 2
PiuraChilensis_v1_contig_10245 	 4 	 7
PiuraChilensis_v1_contig_10246 	 771 	 564
PiuraChilensis_v1_contig_10247 	 11 	 7
PiuraChilensis_v1_contig_10248 	 3 	 0
PiuraChilensis_v1_contig_10249 	 4 	 10
PiuraChilensis_v1_contig_1025 	 82 	 77
PiuraChilensis_v1_contig_10250 	 8 	 0
PiuraChilensis_v1_contig_10251 	 12 	 1
PiuraChilensis_v1_contig_10252 	 28 	 20
PiuraChilensis_v1_contig_10253 	 4 	 8
PiuraChilensis_v1_contig_10254 	 7 	 4
PiuraChilensis_v1_contig_10255 	 23 	 29
PiuraChilensis_v1_contig_10256 	 0 	 6
PiuraChilensis_v1_contig_10257 	 3 	 1
PiuraChilensis_v1_contig_10258 	 12 	 14
PiuraChilensis_v1_contig_10259 	 7 	 6
PiuraChilensis_v1_contig_1026 	 17 	 8
PiuraChilensis_v1_contig_10260 	 16 	 7
PiuraChilensis_v1_contig_10261 	 2 	 10
PiuraChilensis_v1_contig_10262 	 2 	 3
PiuraChilensis_v1_contig_10263 	 25 	 17
PiuraChilensis_v1_contig_10264 	 3 	 2
PiuraChilensis_v1_contig_10265 	 4 	 5
PiuraChilensis_v1_contig_10266 	 12 	 8
PiuraChilensis_v1_contig_10267 	 9 	 10
PiuraChilensis_v1_contig_10268 	 2 	 0
PiuraChilensis_v1_contig_10269 	 2 	 7
PiuraChilensis_v1_contig_1027 	 7 	 11
PiuraChilensis_v1_contig_10270 	 7 	 9
PiuraChilensis_v1_contig_10271 	 5 	 0
PiuraChilensis_v1_contig_10272 	 6 	 8
PiuraChilensis_v1_contig_10273 	 32 	 12
PiuraChilensis_v1_contig_10274 	 8 	 5
PiuraChilensis_v1_contig_10275 	 40 	 21
PiuraChilensis_v1_contig_10276 	 2 	 2
PiuraChilensis_v1_contig_10277 	 11 	 6
PiuraChilensis_v1_contig_10278 	 2 	 1
PiuraChilensis_v1_contig_10279 	 12 	 18
PiuraChilensis_v1_contig_1028 	 196 	 175
PiuraChilensis_v1_contig_10280 	 8 	 12
PiuraChilensis_v1_contig_10281 	 4 	 5
PiuraChilensis_v1_contig_10282 	 0 	 2
PiuraChilensis_v1_contig_10283 	 8 	 6
PiuraChilensis_v1_contig_10284 	 5 	 14
PiuraChilensis_v1_contig_10285 	 1 	 4
PiuraChilensis_v1_contig_10286 	 5 	 12
PiuraChilensis_v1_contig_10287 	 8 	 11
